127.0.0.1 - - [17/Jun/2021:09:02:06 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:02:06 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 200 2861
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:02:06 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:02:06 +0900] "GET /Lecture-Web/homework/0616/Maps-Location-icon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:02:06 +0900] "GET /Lecture-Web/homework/0616/World_Map.svg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:02:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:03:05 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 200 2954
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:03:08 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:03:11 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:04:05 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 200 3083
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:04:05 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:04:06 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:04:06 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:04:06 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:04:06 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:04:42 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 200 3056
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:04:42 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:04:42 +0900] "GET /Lecture-Web/homework/0616/Maps-Location-icon.png HTTP/1.1" 200 3728
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:09:30 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 200 3352
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:09:52 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:10:59 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 200 3301
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:11:01 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:12:38 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 200 3055
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:12:39 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:12:39 +0900] "GET /Lecture-Web/homework/0616/Maps-Location-icon.png HTTP/1.1" 200 3728
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:13:00 +0900] "GET /Lecture-Web/homework/0616/World_Map.svg HTTP/1.1" 200 182119
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:13:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:14:44 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:14:48 +0900] "GET /Lecture-Web/homework/0616/exam01.html HTTP/1.1" 200 2966
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:14:48 +0900] "GET /Lecture-Web/jquery/js/jquery-3.6.0.min.js HTTP/1.1" 200 89501
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:14:48 +0900] "GET /Lecture-Web/homework/0616/Maps-Location-icon.png HTTP/1.1" 200 3728
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:15:09 +0900] "GET /Lecture-Web/homework/0616/World_Map.svg HTTP/1.1" 200 182119
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:15:09 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Jun/2021:09:26:18 +0900] "GET /Lecture-Web/jquery/exam03.html HTTP/1.1" 200 2102
